Using device: cpu
Ep.:     10, Loss: 3.457, Avg.Score: -43.76, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.07, Epsilon: 0.1000, Time: 00:00:38
Ep.:     20, Loss: 2.896, Avg.Score: -48.03, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.07, Epsilon: 0.1000, Time: 00:01:21
Ep.:     30, Loss: 1.402, Avg.Score: -53.82, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.08, Epsilon: 0.1000, Time: 00:02:00
Ep.:     40, Loss: 0.951, Avg.Score: -57.22, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.08, Epsilon: 0.1000, Time: 00:02:38
Ep.:     50, Loss: 1.049, Avg.Score: -50.03, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.09, Epsilon: 0.1000, Time: 00:03:16
Ep.:     60, Loss: 0.902, Avg.Score: -43.87, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.10, Epsilon: 0.1000, Time: 00:03:54
Ep.:     70, Loss: 0.892, Avg.Score: -52.52, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.11, Epsilon: 0.1000, Time: 00:04:32
Ep.:     80, Loss: 0.915, Avg.Score: -45.80, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.12, Epsilon: 0.1000, Time: 00:05:10
Ep.:     90, Loss: 0.738, Avg.Score: -53.70, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.13, Epsilon: 0.1000, Time: 00:05:50
Ep.:    100, Loss: 0.836, Avg.Score: -50.82, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 7.00, Death Penalty: -1.14, Epsilon: 0.1000, Time: 00:07:09
Ep.:    110, Loss: 0.615, Avg.Score: -51.97, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.15, Epsilon: 0.1000, Time: 00:08:24
Ep.:    120, Loss: 0.533, Avg.Score: -48.56, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.16, Epsilon: 0.1000, Time: 00:09:41
Ep.:    130, Loss: 0.737, Avg.Score: -63.57, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.18, Epsilon: 0.1000, Time: 00:10:57
Ep.:    140, Loss: 0.559, Avg.Score: -51.02, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.19, Epsilon: 0.1000, Time: 00:12:11
Ep.:    150, Loss: 0.538, Avg.Score: -55.80, Avg.LenOfSnake: 5.13, Max.LenOfSnake: 6.00, Death Penalty: -1.21, Epsilon: 0.1000, Time: 00:13:27
Ep.:    160, Loss: 0.634, Avg.Score: -44.93, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.22, Epsilon: 0.1000, Time: 00:14:42
Ep.:    170, Loss: 0.527, Avg.Score: -59.50, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.24, Epsilon: 0.1000, Time: 00:15:58
Ep.:    180, Loss: 0.615, Avg.Score: -54.31, Avg.LenOfSnake: 5.23, Max.LenOfSnake: 7.00, Death Penalty: -1.26, Epsilon: 0.1000, Time: 00:17:12
Ep.:    190, Loss: 0.561, Avg.Score: -53.68, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.29, Epsilon: 0.1000, Time: 00:18:27
Ep.:    200, Loss: 0.573, Avg.Score: -69.30, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.31, Epsilon: 0.1000, Time: 00:19:42
Ep.:    210, Loss: 0.549, Avg.Score: -67.48, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.34, Epsilon: 0.1000, Time: 00:20:57
Ep.:    220, Loss: 0.434, Avg.Score: -116.46, Avg.LenOfSnake: 5.37, Max.LenOfSnake: 7.00, Death Penalty: -1.36, Epsilon: 0.1000, Time: 00:22:15
Ep.:    230, Loss: 0.474, Avg.Score: -62.73, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.39, Epsilon: 0.1000, Time: 00:23:32
Ep.:    240, Loss: 0.609, Avg.Score: -56.90, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.43, Epsilon: 0.1000, Time: 00:24:48
Ep.:    250, Loss: 0.551, Avg.Score: -91.54, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.46, Epsilon: 0.1000, Time: 00:26:02
Ep.:    260, Loss: 0.723, Avg.Score: -77.00, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.50, Epsilon: 0.1000, Time: 00:27:17
Ep.:    270, Loss: 0.771, Avg.Score: -62.02, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.54, Epsilon: 0.1000, Time: 00:28:31
Ep.:    280, Loss: 0.565, Avg.Score: -62.74, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.58, Epsilon: 0.1000, Time: 00:29:47
Ep.:    290, Loss: 0.577, Avg.Score: -76.06, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.63, Epsilon: 0.1000, Time: 00:31:05
Ep.:    300, Loss: 0.794, Avg.Score: -73.58, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.68, Epsilon: 0.1000, Time: 00:32:21
Ep.:    310, Loss: 0.736, Avg.Score: -85.02, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.74, Epsilon: 0.1000, Time: 00:33:39
Ep.:    320, Loss: 0.762, Avg.Score: -97.38, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.80, Epsilon: 0.1000, Time: 00:34:55
Ep.:    330, Loss: 1.022, Avg.Score: -66.74, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.86, Epsilon: 0.1000, Time: 00:36:12
Ep.:    340, Loss: 1.026, Avg.Score: -77.03, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.93, Epsilon: 0.1000, Time: 00:37:34
Ep.:    350, Loss: 0.654, Avg.Score: -116.51, Avg.LenOfSnake: 5.37, Max.LenOfSnake: 8.00, Death Penalty: -2.00, Epsilon: 0.1000, Time: 00:38:53
Ep.:    360, Loss: 1.107, Avg.Score: -91.58, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -2.07, Epsilon: 0.1000, Time: 00:40:13
Ep.:    370, Loss: 0.778, Avg.Score: -113.66, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -2.15, Epsilon: 0.1000, Time: 00:41:33
Ep.:    380, Loss: 0.973, Avg.Score: -105.40, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -2.24, Epsilon: 0.1000, Time: 00:42:53
Ep.:    390, Loss: 0.978, Avg.Score: -111.84, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -2.33, Epsilon: 0.1000, Time: 00:44:16
Ep.:    400, Loss: 1.364, Avg.Score: -99.19, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -2.43, Epsilon: 0.1000, Time: 00:45:39
Ep.:    410, Loss: 1.547, Avg.Score: -121.42, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -2.53, Epsilon: 0.1000, Time: 00:47:04
Ep.:    420, Loss: 1.363, Avg.Score: -121.23, Avg.LenOfSnake: 5.20, Max.LenOfSnake: 7.00, Death Penalty: -2.64, Epsilon: 0.1000, Time: 00:48:30
Ep.:    430, Loss: 0.945, Avg.Score: -176.60, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -2.76, Epsilon: 0.1000, Time: 00:49:55
Ep.:    440, Loss: 0.875, Avg.Score: -138.21, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -2.88, Epsilon: 0.1000, Time: 00:51:21
Ep.:    450, Loss: 1.042, Avg.Score: -177.29, Avg.LenOfSnake: 5.13, Max.LenOfSnake: 7.00, Death Penalty: -3.00, Epsilon: 0.1000, Time: 00:52:45
Ep.:    460, Loss: 1.195, Avg.Score: -154.68, Avg.LenOfSnake: 5.17, Max.LenOfSnake: 6.00, Death Penalty: -3.14, Epsilon: 0.1000, Time: 00:54:12
Ep.:    470, Loss: 1.084, Avg.Score: -186.37, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -3.28, Epsilon: 0.1000, Time: 00:55:40
Ep.:    480, Loss: 0.922, Avg.Score: -180.75, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -3.42, Epsilon: 0.1000, Time: 00:57:06
Ep.:    490, Loss: 1.052, Avg.Score: -178.49, Avg.LenOfSnake: 5.17, Max.LenOfSnake: 7.00, Death Penalty: -3.57, Epsilon: 0.1000, Time: 00:58:37
Ep.:    500, Loss: 1.810, Avg.Score: -171.00, Avg.LenOfSnake: 5.13, Max.LenOfSnake: 6.00, Death Penalty: -3.73, Epsilon: 0.1000, Time: 01:00:06
Ep.:    510, Loss: 1.454, Avg.Score: -189.06, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -3.89, Epsilon: 0.1000, Time: 01:01:35
Ep.:    520, Loss: 3.474, Avg.Score: -162.84, Avg.LenOfSnake: 5.20, Max.LenOfSnake: 6.00, Death Penalty: -4.05, Epsilon: 0.1000, Time: 01:03:03
Ep.:    530, Loss: 1.695, Avg.Score: -182.49, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -4.22, Epsilon: 0.1000, Time: 01:04:30
Ep.:    540, Loss: 1.809, Avg.Score: -203.46, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -4.40, Epsilon: 0.1000, Time: 01:05:59
Ep.:    550, Loss: 1.974, Avg.Score: -206.62, Avg.LenOfSnake: 5.33, Max.LenOfSnake: 7.00, Death Penalty: -4.58, Epsilon: 0.1000, Time: 01:06:53
Ep.:    560, Loss: 2.152, Avg.Score: -206.51, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -4.76, Epsilon: 0.1000, Time: 01:07:41
