Using device: cpu
Ep.:     10, Loss: 3.076, Avg.Score: -45.06, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.07, Epsilon: 0.1000, Time: 00:00:24
Ep.:     20, Loss: 1.365, Avg.Score: -56.73, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.07, Epsilon: 0.1000, Time: 00:01:08
Ep.:     30, Loss: 1.021, Avg.Score: -44.22, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.08, Epsilon: 0.1000, Time: 00:01:47
Ep.:     40, Loss: 0.654, Avg.Score: -55.22, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.08, Epsilon: 0.1000, Time: 00:02:26
Ep.:     50, Loss: 0.768, Avg.Score: -47.43, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.09, Epsilon: 0.1000, Time: 00:03:05
Ep.:     60, Loss: 0.639, Avg.Score: -44.07, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.10, Epsilon: 0.1000, Time: 00:03:44
Ep.:     70, Loss: 0.671, Avg.Score: -45.32, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 6.00, Death Penalty: -1.11, Epsilon: 0.1000, Time: 00:04:24
Ep.:     80, Loss: 0.442, Avg.Score: -59.30, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 7.00, Death Penalty: -1.12, Epsilon: 0.1000, Time: 00:05:02
Ep.:     90, Loss: 0.559, Avg.Score: -49.40, Avg.LenOfSnake: 5.13, Max.LenOfSnake: 6.00, Death Penalty: -1.13, Epsilon: 0.1000, Time: 00:05:42
Ep.:    100, Loss: 0.431, Avg.Score: -56.82, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.14, Epsilon: 0.1000, Time: 00:06:29
Ep.:    110, Loss: 0.385, Avg.Score: -58.37, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.15, Epsilon: 0.1000, Time: 00:07:47
Ep.:    120, Loss: 0.492, Avg.Score: -50.66, Avg.LenOfSnake: 5.03, Max.LenOfSnake: 6.00, Death Penalty: -1.16, Epsilon: 0.1000, Time: 00:09:02
Ep.:    130, Loss: 0.389, Avg.Score: -52.27, Avg.LenOfSnake: 5.10, Max.LenOfSnake: 7.00, Death Penalty: -1.18, Epsilon: 0.1000, Time: 00:10:18
Ep.:    140, Loss: 0.374, Avg.Score: -62.72, Avg.LenOfSnake: 5.00, Max.LenOfSnake: 5.00, Death Penalty: -1.19, Epsilon: 0.1000, Time: 00:11:33
Ep.:    150, Loss: 0.458, Avg.Score: -63.80, Avg.LenOfSnake: 5.07, Max.LenOfSnake: 6.00, Death Penalty: -1.21, Epsilon: 0.1000, Time: 00:12:47
Ep.:    160, Loss: 0.479, Avg.Score: -52.33, Avg.LenOfSnake: 5.20, Max.LenOfSnake: 8.00, Death Penalty: -1.22, Epsilon: 0.1000, Time: 00:14:03
