Ep.:    440, Loss: 35.361, Avg.Score: 34.70, Avg.LenOfSnake: 7.80, Max.LenOfSnake:  12.00 Time: 00:10:55 
Ep.:    450, Loss: 28.875, Avg.Score: 47.20, Avg.LenOfSnake: 8.57, Max.LenOfSnake:  14.00 Time: 00:11:18 
Ep.:    460, Loss: 35.166, Avg.Score: 97.80, Avg.LenOfSnake: 10.10, Max.LenOfSnake:  18.00 Time: 00:11:41 
Ep.:    470, Loss: 34.316, Avg.Score: 73.20, Avg.LenOfSnake: 9.43, Max.LenOfSnake:  16.00 Time: 00:12:03 
Ep.:    480, Loss: 33.071, Avg.Score: 84.70, Avg.LenOfSnake: 9.77, Max.LenOfSnake:  20.00 Time: 00:12:25 
Ep.:    490, Loss: 29.154, Avg.Score: 78.60, Avg.LenOfSnake: 9.83, Max.LenOfSnake:  18.00 Time: 00:12:47 
Ep.:    500, Loss: 34.286, Avg.Score: 78.90, Avg.LenOfSnake: 9.40, Max.LenOfSnake:  17.00 Time: 00:13:10 
Ep.:    510, Loss: 32.345, Avg.Score: 91.70, Avg.LenOfSnake: 9.90, Max.LenOfSnake:  18.00 Time: 00:13:34 
Ep.:    520, Loss: 29.275, Avg.Score: 61.60, Avg.LenOfSnake: 9.27, Max.LenOfSnake:  19.00 Time: 00:13:55 
Ep.:    530, Loss: 29.330, Avg.Score: 42.80, Avg.LenOfSnake: 8.37, Max.LenOfSnake:  14.00 Time: 00:14:19 
Ep.:    540, Loss: 35.905, Avg.Score: 82.50, Avg.LenOfSnake: 9.30, Max.LenOfSnake:  18.00 Time: 00:14:42 
Ep.:    550, Loss: 26.559, Avg.Score: 100.70, Avg.LenOfSnake: 10.20, Max.LenOfSnake:  19.00 Time: 00:15:06 
Ep.:    560, Loss: 32.956, Avg.Score: 84.70, Avg.LenOfSnake: 9.57, Max.LenOfSnake:  20.00 Time: 00:15:29 
Ep.:    570, Loss: 28.807, Avg.Score: 93.80, Avg.LenOfSnake: 10.10, Max.LenOfSnake:  18.00 Time: 00:15:52 
Ep.:    580, Loss: 32.188, Avg.Score: 70.70, Avg.LenOfSnake: 9.27, Max.LenOfSnake:  15.00 Time: 00:16:15 
Ep.:    590, Loss: 30.727, Avg.Score: 146.50, Avg.LenOfSnake: 11.70, Max.LenOfSnake:  20.00 Time: 00:16:38 
Ep.:    600, Loss: 27.938, Avg.Score: 68.30, Avg.LenOfSnake: 9.23, Max.LenOfSnake:  17.00 Time: 00:17:01 
Ep.:    610, Loss: 27.216, Avg.Score: 88.00, Avg.LenOfSnake: 10.03, Max.LenOfSnake:  17.00 Time: 00:17:24 
Ep.:    620, Loss: 32.015, Avg.Score: 101.20, Avg.LenOfSnake: 10.33, Max.LenOfSnake:  19.00 Time: 00:17:47 
Ep.:    630, Loss: 29.773, Avg.Score: 107.10, Avg.LenOfSnake: 10.27, Max.LenOfSnake:  19.00 Time: 00:18:11 
Ep.:    640, Loss: 30.865, Avg.Score: 125.20, Avg.LenOfSnake: 10.83, Max.LenOfSnake:  23.00 Time: 00:18:34 
Ep.:    650, Loss: 28.330, Avg.Score: 29.40, Avg.LenOfSnake: 8.30, Max.LenOfSnake:  13.00 Time: 00:18:58 
Ep.:    660, Loss: 25.822, Avg.Score: 91.00, Avg.LenOfSnake: 9.90, Max.LenOfSnake:  17.00 Time: 00:19:22 
Ep.:    670, Loss: 25.515, Avg.Score: 143.10, Avg.LenOfSnake: 11.70, Max.LenOfSnake:  22.00 Time: 00:19:46 
Ep.:    680, Loss: 26.108, Avg.Score: 112.40, Avg.LenOfSnake: 10.63, Max.LenOfSnake:  21.00 Time: 00:20:11 
Ep.:    690, Loss: 26.550, Avg.Score: 146.80, Avg.LenOfSnake: 11.67, Max.LenOfSnake:  21.00 Time: 00:20:35 
Ep.:    700, Loss: 28.655, Avg.Score: 113.10, Avg.LenOfSnake: 10.53, Max.LenOfSnake:  20.00 Time: 00:21:00 
Ep.:    710, Loss: 26.041, Avg.Score: 166.90, Avg.LenOfSnake: 12.37, Max.LenOfSnake:  22.00 Time: 00:21:25 
Ep.:    720, Loss: 26.765, Avg.Score: 172.40, Avg.LenOfSnake: 12.43, Max.LenOfSnake:  22.00 Time: 00:21:49 
Ep.:    730, Loss: 25.334, Avg.Score: 150.70, Avg.LenOfSnake: 11.77, Max.LenOfSnake:  21.00 Time: 00:22:14 
Ep.:    740, Loss: 22.661, Avg.Score: 101.20, Avg.LenOfSnake: 10.30, Max.LenOfSnake:  18.00 Time: 00:22:39 
Ep.:    750, Loss: 24.969, Avg.Score: 130.50, Avg.LenOfSnake: 11.13, Max.LenOfSnake:  23.00 Time: 00:23:03 
Ep.:    760, Loss: 26.404, Avg.Score: 124.20, Avg.LenOfSnake: 10.93, Max.LenOfSnake:  20.00 Time: 00:23:28 
Ep.:    770, Loss: 26.762, Avg.Score: 130.50, Avg.LenOfSnake: 11.10, Max.LenOfSnake:  22.00 Time: 00:23:53 
Ep.:    780, Loss: 25.041, Avg.Score: 149.50, Avg.LenOfSnake: 11.87, Max.LenOfSnake:  19.00 Time: 00:24:18 
Ep.:    790, Loss: 28.267, Avg.Score: 149.40, Avg.LenOfSnake: 11.87, Max.LenOfSnake:  25.00 Time: 00:24:44 
Ep.:    800, Loss: 24.053, Avg.Score: 132.70, Avg.LenOfSnake: 11.27, Max.LenOfSnake:  28.00 Time: 00:25:09 
Ep.:    810, Loss: 25.667, Avg.Score: 152.80, Avg.LenOfSnake: 12.00, Max.LenOfSnake:  26.00 Time: 00:25:35 
Ep.:    820, Loss: 26.198, Avg.Score: 183.10, Avg.LenOfSnake: 13.07, Max.LenOfSnake:  24.00 Time: 00:26:00 
Ep.:    830, Loss: 27.676, Avg.Score: 101.40, Avg.LenOfSnake: 10.13, Max.LenOfSnake:  23.00 Time: 00:26:24 
