Using device: cpu
Ep.:    340, Loss: 0.520, Avg.Score: 624.25, Avg.LenOfSnake: 29.50, Max.LenOfSnake: 51.00, Death Penalty: -1.93, Epsilon: 0.1000, Time: 00:19:31
Ep.:    350, Loss: 0.493, Avg.Score: 603.90, Avg.LenOfSnake: 29.00, Max.LenOfSnake: 47.00, Death Penalty: -2.00, Epsilon: 0.1000, Time: 00:20:19
Ep.:    360, Loss: 0.518, Avg.Score: 617.22, Avg.LenOfSnake: 29.60, Max.LenOfSnake: 43.00, Death Penalty: -2.07, Epsilon: 0.1000, Time: 00:21:07
Ep.:    370, Loss: 0.602, Avg.Score: 520.68, Avg.LenOfSnake: 26.03, Max.LenOfSnake: 56.00, Death Penalty: -2.15, Epsilon: 0.1000, Time: 00:21:57
Ep.:    380, Loss: 0.658, Avg.Score: 622.08, Avg.LenOfSnake: 29.90, Max.LenOfSnake: 46.00, Death Penalty: -2.24, Epsilon: 0.1000, Time: 00:22:46
Ep.:    390, Loss: 0.566, Avg.Score: 659.73, Avg.LenOfSnake: 30.97, Max.LenOfSnake: 48.00, Death Penalty: -2.33, Epsilon: 0.1000, Time: 00:23:36
Ep.:    400, Loss: 0.631, Avg.Score: 575.01, Avg.LenOfSnake: 28.30, Max.LenOfSnake: 51.00, Death Penalty: -2.43, Epsilon: 0.1000, Time: 00:24:27
Ep.:    410, Loss: 0.569, Avg.Score: 693.91, Avg.LenOfSnake: 32.97, Max.LenOfSnake: 48.00, Death Penalty: -2.53, Epsilon: 0.1000, Time: 00:25:20
Ep.:    420, Loss: 0.486, Avg.Score: 708.25, Avg.LenOfSnake: 33.73, Max.LenOfSnake: 54.00, Death Penalty: -2.64, Epsilon: 0.1000, Time: 00:26:11
Ep.:    430, Loss: 0.579, Avg.Score: 747.10, Avg.LenOfSnake: 35.93, Max.LenOfSnake: 59.00, Death Penalty: -2.76, Epsilon: 0.1000, Time: 00:27:05
Ep.:    440, Loss: 0.606, Avg.Score: 632.28, Avg.LenOfSnake: 31.07, Max.LenOfSnake: 56.00, Death Penalty: -2.88, Epsilon: 0.1000, Time: 00:27:57
Ep.:    450, Loss: 0.645, Avg.Score: 628.57, Avg.LenOfSnake: 31.33, Max.LenOfSnake: 49.00, Death Penalty: -3.00, Epsilon: 0.1000, Time: 00:28:50
Ep.:    460, Loss: 0.546, Avg.Score: 617.69, Avg.LenOfSnake: 31.10, Max.LenOfSnake: 46.00, Death Penalty: -3.14, Epsilon: 0.1000, Time: 00:29:44
Ep.:    470, Loss: 0.626, Avg.Score: 693.52, Avg.LenOfSnake: 33.97, Max.LenOfSnake: 56.00, Death Penalty: -3.28, Epsilon: 0.1000, Time: 00:30:39
Ep.:    480, Loss: 0.586, Avg.Score: 787.29, Avg.LenOfSnake: 37.63, Max.LenOfSnake: 60.00, Death Penalty: -3.42, Epsilon: 0.1000, Time: 00:31:35
Ep.:    490, Loss: 0.746, Avg.Score: 672.08, Avg.LenOfSnake: 33.60, Max.LenOfSnake: 51.00, Death Penalty: -3.57, Epsilon: 0.1000, Time: 00:32:32
Ep.:    500, Loss: 0.609, Avg.Score: 704.71, Avg.LenOfSnake: 34.73, Max.LenOfSnake: 58.00, Death Penalty: -3.73, Epsilon: 0.1000, Time: 00:33:29
Ep.:    510, Loss: 0.779, Avg.Score: 702.78, Avg.LenOfSnake: 35.50, Max.LenOfSnake: 57.00, Death Penalty: -3.89, Epsilon: 0.1000, Time: 00:34:26
Ep.:    520, Loss: 1.019, Avg.Score: 611.70, Avg.LenOfSnake: 32.20, Max.LenOfSnake: 54.00, Death Penalty: -4.05, Epsilon: 0.1000, Time: 00:35:26
Ep.:    530, Loss: 0.727, Avg.Score: 704.40, Avg.LenOfSnake: 36.30, Max.LenOfSnake: 55.00, Death Penalty: -4.22, Epsilon: 0.1000, Time: 00:36:23
Ep.:    540, Loss: 0.863, Avg.Score: 694.06, Avg.LenOfSnake: 36.00, Max.LenOfSnake: 62.00, Death Penalty: -4.40, Epsilon: 0.1000, Time: 00:37:24
Ep.:    550, Loss: 0.862, Avg.Score: 668.83, Avg.LenOfSnake: 34.63, Max.LenOfSnake: 52.00, Death Penalty: -4.58, Epsilon: 0.1000, Time: 00:38:22
Ep.:    560, Loss: 0.972, Avg.Score: 601.79, Avg.LenOfSnake: 32.30, Max.LenOfSnake: 51.00, Death Penalty: -4.76, Epsilon: 0.1000, Time: 00:39:21
Ep.:    570, Loss: 1.202, Avg.Score: 588.49, Avg.LenOfSnake: 32.27, Max.LenOfSnake: 52.00, Death Penalty: -4.94, Epsilon: 0.1000, Time: 00:40:20
Ep.:    580, Loss: 0.862, Avg.Score: 729.02, Avg.LenOfSnake: 38.20, Max.LenOfSnake: 60.00, Death Penalty: -5.13, Epsilon: 0.1000, Time: 00:41:20
Ep.:    590, Loss: 0.960, Avg.Score: 634.32, Avg.LenOfSnake: 34.50, Max.LenOfSnake: 56.00, Death Penalty: -5.31, Epsilon: 0.1000, Time: 00:42:23
Ep.:    600, Loss: 1.061, Avg.Score: 551.40, Avg.LenOfSnake: 32.07, Max.LenOfSnake: 52.00, Death Penalty: -5.50, Epsilon: 0.1000, Time: 00:43:25
Ep.:    610, Loss: 1.057, Avg.Score: 689.78, Avg.LenOfSnake: 37.73, Max.LenOfSnake: 58.00, Death Penalty: -5.69, Epsilon: 0.1000, Time: 00:44:22
Ep.:    620, Loss: 0.940, Avg.Score: 626.98, Avg.LenOfSnake: 35.57, Max.LenOfSnake: 52.00, Death Penalty: -5.87, Epsilon: 0.1000, Time: 00:45:22
Ep.:    630, Loss: 1.291, Avg.Score: 726.01, Avg.LenOfSnake: 39.30, Max.LenOfSnake: 60.00, Death Penalty: -6.06, Epsilon: 0.1000, Time: 00:46:24
Ep.:    640, Loss: 1.418, Avg.Score: 603.71, Avg.LenOfSnake: 34.93, Max.LenOfSnake: 52.00, Death Penalty: -6.24, Epsilon: 0.1000, Time: 00:47:26
Ep.:    650, Loss: 1.011, Avg.Score: 675.27, Avg.LenOfSnake: 37.40, Max.LenOfSnake: 52.00, Death Penalty: -6.42, Epsilon: 0.1000, Time: 00:48:28
