Ep.:    460, Loss: nan, Avg.Score: -41.70, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:52 
Ep.:    470, Loss: nan, Avg.Score: -40.60, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:53 
Ep.:    480, Loss: nan, Avg.Score: -43.70, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:54 
Ep.:    490, Loss: nan, Avg.Score: -42.40, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:00:55 
Ep.:    500, Loss: nan, Avg.Score: -40.40, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:00:56 
Ep.:    510, Loss: nan, Avg.Score: -40.10, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:00:58 
Ep.:    520, Loss: nan, Avg.Score: -40.90, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:00:59 
Ep.:    530, Loss: nan, Avg.Score: -37.90, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:01:00 
Ep.:    540, Loss: nan, Avg.Score: -40.10, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:01:01 
Ep.:    550, Loss: nan, Avg.Score: -38.80, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:02 
Ep.:    560, Loss: nan, Avg.Score: -39.80, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:03 
Ep.:    570, Loss: nan, Avg.Score: -45.70, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:04 
Ep.:    580, Loss: nan, Avg.Score: -41.90, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:06 
Ep.:    590, Loss: nan, Avg.Score: -40.30, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:07 
Ep.:    600, Loss: nan, Avg.Score: -43.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:08 
Ep.:    610, Loss: nan, Avg.Score: -43.70, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:09 
Ep.:    620, Loss: nan, Avg.Score: -44.50, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:10 
Ep.:    630, Loss: nan, Avg.Score: -42.50, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:12 
Ep.:    640, Loss: nan, Avg.Score: -43.80, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:13 
Ep.:    650, Loss: nan, Avg.Score: -40.60, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:01:14 
Ep.:    660, Loss: nan, Avg.Score: -41.40, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:15 
Ep.:    670, Loss: nan, Avg.Score: -41.90, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:16 
Ep.:    680, Loss: nan, Avg.Score: -41.00, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:17 
Ep.:    690, Loss: nan, Avg.Score: -38.40, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:18 
Ep.:    700, Loss: nan, Avg.Score: -41.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:20 
Ep.:    710, Loss: nan, Avg.Score: -39.40, Avg.LenOfSnake: 5.10, Max.LenOfSnake:  6.00 Time: 00:01:21 
Ep.:    720, Loss: nan, Avg.Score: -40.50, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:01:22 
Ep.:    730, Loss: nan, Avg.Score: -44.90, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:23 
Ep.:    740, Loss: nan, Avg.Score: -42.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:24 
Ep.:    750, Loss: nan, Avg.Score: -38.30, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:25 
Ep.:    760, Loss: nan, Avg.Score: -41.10, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:01:27 
Ep.:    770, Loss: nan, Avg.Score: -43.30, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:01:28 
Ep.:    780, Loss: nan, Avg.Score: -44.20, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:29 
Ep.:    790, Loss: nan, Avg.Score: -41.60, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:30 
Ep.:    800, Loss: nan, Avg.Score: -42.80, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:31 
Ep.:    810, Loss: nan, Avg.Score: -38.40, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:32 
Ep.:    820, Loss: nan, Avg.Score: -46.00, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:34 
Ep.:    830, Loss: nan, Avg.Score: -42.30, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:01:35 
Ep.:    840, Loss: nan, Avg.Score: -43.10, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:36 
Ep.:    850, Loss: nan, Avg.Score: -39.40, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:37 
Ep.:    860, Loss: nan, Avg.Score: -39.90, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:38 
Ep.:    870, Loss: nan, Avg.Score: -42.70, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:39 
Ep.:    880, Loss: nan, Avg.Score: -41.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:41 
Ep.:    890, Loss: nan, Avg.Score: -39.10, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:42 
Ep.:    900, Loss: nan, Avg.Score: -40.90, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:43 
Ep.:    910, Loss: nan, Avg.Score: -40.90, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:44 
Ep.:    920, Loss: nan, Avg.Score: -38.70, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:45 
